,Missing_count,% Missing
mo_ht,300,24.93765586034913
edu_mo_baseline,300,24.93765586034913
bdq_baseline,300,24.93765586034913
mspss_baseline,300,24.93765586034913
depindex_0,300,24.93765586034913
depXtreat,199,16.54197838736492
lhw_15,199,16.54197838736492
lhw_14,199,16.54197838736492
lhw_13,199,16.54197838736492
lhw_16,199,16.54197838736492
lhw_4,199,16.54197838736492
lhw_33,199,16.54197838736492
lhw_63,199,16.54197838736492
lhw_64,199,16.54197838736492
lhw_40,199,16.54197838736492
lhw_62,199,16.54197838736492
lhw_55,199,16.54197838736492
lhw_56,199,16.54197838736492
lhw_59,199,16.54197838736492
lhw_58,199,16.54197838736492
lhw_60,199,16.54197838736492
lhw_61,199,16.54197838736492
lhw_42,199,16.54197838736492
lhw_37,199,16.54197838736492
lhw_38,199,16.54197838736492
lhw_39,199,16.54197838736492
lhw_43,199,16.54197838736492
lhw_34,199,16.54197838736492
lhw_35,199,16.54197838736492
lhw_53,199,16.54197838736492
lhw_57,199,16.54197838736492
lhw_54,199,16.54197838736492
lhw_66,199,16.54197838736492
lhw_51,199,16.54197838736492
lhw_49,199,16.54197838736492
lhw_52,199,16.54197838736492
lhw_50,199,16.54197838736492
lhw_65,199,16.54197838736492
dep_sample,199,16.54197838736492
lhw_2,199,16.54197838736492
lhw_3,199,16.54197838736492
lhw_8,199,16.54197838736492
lhw_12,199,16.54197838736492
lhw_7,199,16.54197838736492
lhw_5,199,16.54197838736492
lhw_6,199,16.54197838736492
lhw_1,199,16.54197838736492
lhw_36,199,16.54197838736492
lhw_41,199,16.54197838736492
lhw_44,199,16.54197838736492
lhw_48,199,16.54197838736492
lhw_45,199,16.54197838736492
lhw_46,199,16.54197838736492
lhw_47,199,16.54197838736492
lhw_28,199,16.54197838736492
lhw_29,199,16.54197838736492
lhw_30,199,16.54197838736492
lhw_31,199,16.54197838736492
lhw_32,199,16.54197838736492
lhw_17,199,16.54197838736492
lhw_18,199,16.54197838736492
lhw_19,199,16.54197838736492
lhw_20,199,16.54197838736492
lhw_21,199,16.54197838736492
lhw_22,199,16.54197838736492
lhw_23,199,16.54197838736492
lhw_24,199,16.54197838736492
lhw_25,199,16.54197838736492
lhw_26,199,16.54197838736492
lhw_27,199,16.54197838736492
lhw_10,199,16.54197838736492
lhw_9,199,16.54197838736492
lhw_11,199,16.54197838736492
fatherfinancial,165,13.715710723192021
girlXtreat,142,11.803823773898586
girl,142,11.803823773898586
dur_notdep,119,9.891936824605153
notdep2012,119,9.891936824605153
notdep2013,119,9.891936824605153
notdep2011,119,9.891936824605153
relation_traj,117,9.72568578553616
socialsupport,83,6.899418121363259
depression_traj,83,6.899418121363259
grandmothers,83,6.899418121363259
motherfinancial,83,6.899418121363259
depression_traj_all,83,6.899418121363259
incomeindex,83,6.899418121363259
motherhealthindex,80,6.6500415627597675
edu_fa,0,0.0
THP_sample,0,0.0
gender_4sum,0,0.0
first_child,0,0.0
notlast,0,0.0
recover_perm,0,0.0
home_obs,0,0.0
sample,0,0.0
recover_never,0,0.0
first_childXtreat,0,0.0
Group,0,0.0
treat,0,0.0
fertility_vars,0,0.0
uc,0,0.0
